customer_id,assigned_persona,assign_rule
141,Shopper,rule:shopper
142,Commuter,rule:commuter_strict
143,Thrifty,soft:Thrifty
144,Thrifty,rule:thrifty
145,Thrifty,rule:thrifty
146,Commuter,rule:commuter_strict
147,Thrifty,soft:Thrifty
148,Thrifty,rule:thrifty
149,Commuter,rule:commuter_strict
150,Thrifty,rule:thrifty
151,Shopper,rule:shopper
152,Commuter,rule:commuter_strict
153,Commuter,rule:commuter_strict
154,Thrifty,rule:thrifty
155,Shopper,soft:Shopper
156,Commuter,rule:commuter_strict
157,Thrifty,soft:Thrifty
158,Thrifty,soft:Thrifty
159,Commuter,rule:commuter_strict
160,Thrifty,soft:Thrifty
161,Thrifty,rule:thrifty
162,Thrifty,soft:Thrifty
163,Weekend,soft:Weekend
164,Thrifty,soft:Thrifty
165,Commuter,rule:commuter_strict
166,Shopper,rule:shopper
167,Thrifty,rule:thrifty
168,Commuter,rule:commuter_strict
169,Commuter,rule:commuter_strict
170,Weekend,soft:Weekend
171,Thrifty,soft:Thrifty
172,Commuter,rule:commuter_strict
173,Thrifty,soft:Thrifty
174,Commuter,rule:commuter_strict
175,Thrifty,soft:Thrifty
176,Commuter,rule:commuter_strict
177,Thrifty,soft:Thrifty
178,Thrifty,rule:thrifty
179,Shopper,rule:shopper
180,Commuter,rule:commuter_strict
181,Thrifty,rule:thrifty
182,Commuter,rule:commuter_strict
183,Shopper,rule:shopper
184,Shopper,rule:shopper
185,Thrifty,rule:thrifty
186,Thrifty,soft:Thrifty
187,Shopper,rule:shopper
188,Thrifty,soft:Thrifty
189,Shopper,soft:Shopper
190,Commuter,rule:commuter_strict
191,Commuter,rule:commuter_strict
192,Shopper,rule:shopper
193,Shopper,rule:shopper
194,Thrifty,soft:Thrifty
195,Thrifty,rule:thrifty
196,Thrifty,rule:thrifty
197,Weekend,soft:Weekend
198,Shopper,rule:shopper
199,Shopper,rule:shopper
200,Weekend,soft:Weekend
201,Thrifty,soft:Thrifty
202,Commuter,rule:commuter_strict
203,Commuter,rule:commuter_strict
204,Shopper,rule:shopper
205,Thrifty,soft:Thrifty
206,Commuter,rule:commuter_strict
207,Commuter,rule:commuter_strict
208,Thrifty,soft:Thrifty
209,Commuter,rule:commuter_strict
210,Commuter,rule:commuter_strict
211,Weekend,soft:Weekend
212,Thrifty,soft:Thrifty
213,Thrifty,soft:Thrifty
214,Commuter,rule:commuter_strict
215,Thrifty,soft:Thrifty
216,Commuter,rule:commuter_strict
217,Thrifty,rule:thrifty
218,Thrifty,soft:Thrifty
219,Thrifty,soft:Thrifty
220,Shopper,rule:shopper
221,Thrifty,soft:Thrifty
222,Weekend,soft:Weekend
223,Commuter,rule:commuter_strict
224,Thrifty,soft:Thrifty
225,Thrifty,soft:Thrifty
226,Commuter,rule:commuter_strict
227,Shopper,rule:shopper
228,Thrifty,rule:thrifty
229,Shopper,soft:Shopper
230,Thrifty,soft:Thrifty
231,Shopper,rule:shopper
232,Thrifty,rule:thrifty
233,Weekend,soft:Weekend
234,Thrifty,soft:Thrifty
235,Commuter,rule:commuter_strict
236,Thrifty,soft:Thrifty
237,Thrifty,rule:thrifty
238,Commuter,rule:commuter_strict
239,Thrifty,soft:Thrifty
240,Commuter,rule:commuter_strict
241,Shopper,rule:shopper
242,Shopper,rule:shopper
243,Shopper,soft:Shopper
244,Thrifty,rule:thrifty
245,Commuter,rule:commuter_strict
246,Shopper,rule:shopper
247,Thrifty,rule:thrifty
248,Shopper,rule:shopper
249,Shopper,soft:Shopper
250,Shopper,rule:shopper
251,Thrifty,rule:thrifty
252,Thrifty,rule:thrifty
253,Shopper,rule:shopper
254,Thrifty,rule:thrifty
255,Commuter,rule:commuter_strict
256,Weekend,soft:Weekend
257,Shopper,rule:shopper
258,Thrifty,soft:Thrifty
259,Thrifty,soft:Thrifty
260,Commuter,rule:commuter_strict
261,Thrifty,soft:Thrifty
262,Shopper,rule:shopper
263,Commuter,rule:commuter_strict
264,Thrifty,soft:Thrifty
265,Shopper,rule:shopper
266,Thrifty,soft:Thrifty
267,Weekend,soft:Weekend
268,Thrifty,soft:Thrifty
269,Thrifty,rule:thrifty
270,Thrifty,soft:Thrifty
271,Shopper,rule:shopper
272,Shopper,rule:shopper
273,Shopper,rule:shopper
274,Shopper,soft:Shopper
275,Thrifty,soft:Thrifty
276,Thrifty,soft:Thrifty
277,Shopper,rule:shopper
278,Thrifty,soft:Thrifty
279,Thrifty,soft:Thrifty
280,Shopper,rule:shopper
281,Shopper,rule:shopper
282,Thrifty,soft:Thrifty
283,Thrifty,rule:thrifty
284,Commuter,rule:commuter_strict
285,Weekend,soft:Weekend
286,Commuter,rule:commuter_strict
287,Thrifty,soft:Thrifty
288,Weekend,soft:Weekend
289,Thrifty,rule:thrifty
290,Thrifty,soft:Thrifty
291,Commuter,rule:commuter_strict
292,Commuter,rule:commuter_strict
293,Shopper,rule:shopper
294,Thrifty,soft:Thrifty
295,Commuter,rule:commuter_strict
296,Weekend,soft:Weekend
297,Thrifty,soft:Thrifty
298,Commuter,rule:commuter_strict
299,Thrifty,soft:Thrifty
300,Commuter,rule:commuter_strict
301,Commuter,rule:commuter_strict
302,Thrifty,soft:Thrifty
303,Thrifty,soft:Thrifty
304,Thrifty,soft:Thrifty
305,Thrifty,soft:Thrifty
306,Shopper,soft:Shopper
307,Thrifty,rule:thrifty
308,Thrifty,soft:Thrifty
309,Shopper,rule:shopper
310,Thrifty,rule:thrifty
311,Thrifty,rule:thrifty
312,Commuter,rule:commuter_strict
313,Commuter,rule:commuter_strict
314,Shopper,rule:shopper
315,Shopper,rule:shopper
316,Thrifty,soft:Thrifty
317,Thrifty,soft:Thrifty
318,Commuter,rule:commuter_strict
319,Commuter,rule:commuter_strict
320,Commuter,rule:commuter_strict
321,Thrifty,soft:Thrifty
322,Thrifty,soft:Thrifty
323,Thrifty,soft:Thrifty
324,Thrifty,rule:thrifty
325,Shopper,rule:shopper
326,Thrifty,soft:Thrifty
327,Thrifty,soft:Thrifty
328,Thrifty,soft:Thrifty
329,Thrifty,rule:thrifty
330,Commuter,rule:commuter_strict
331,Thrifty,soft:Thrifty
332,Thrifty,soft:Thrifty
333,Commuter,rule:commuter_strict
334,Commuter,rule:commuter_strict
335,Commuter,rule:commuter_strict
336,Commuter,rule:commuter_strict
337,Shopper,rule:shopper
338,Weekend,soft:Weekend
339,Thrifty,soft:Thrifty
340,Commuter,rule:commuter_strict
341,Weekend,rule:weekend
342,Thrifty,soft:Thrifty
343,Commuter,rule:commuter_strict
344,Thrifty,soft:Thrifty
345,Thrifty,rule:thrifty
346,Thrifty,soft:Thrifty
347,Weekend,soft:Weekend
348,Commuter,rule:commuter_strict
349,Thrifty,soft:Thrifty
350,Thrifty,soft:Thrifty
351,Thrifty,soft:Thrifty
352,Shopper,rule:shopper
353,Thrifty,soft:Thrifty
354,Commuter,rule:commuter_strict
355,Commuter,rule:commuter_strict
356,Weekend,soft:Weekend
357,Commuter,rule:commuter_strict
358,Thrifty,soft:Thrifty
359,Shopper,rule:shopper
360,Thrifty,soft:Thrifty
361,Thrifty,rule:thrifty
362,Thrifty,soft:Thrifty
363,Thrifty,rule:thrifty
364,Thrifty,soft:Thrifty
365,Shopper,rule:shopper
366,Thrifty,rule:thrifty
367,Shopper,soft:Shopper
368,Shopper,rule:shopper
369,Commuter,rule:commuter_strict
370,Commuter,rule:commuter_strict
371,Commuter,rule:commuter_strict
372,Commuter,rule:commuter_strict
373,Commuter,rule:commuter_strict
374,Weekend,soft:Weekend
375,Commuter,rule:commuter_strict
376,Thrifty,rule:thrifty
377,Shopper,rule:shopper
378,Commuter,rule:commuter_strict
379,Shopper,rule:shopper
380,Thrifty,soft:Thrifty
381,Commuter,rule:commuter_strict
382,Thrifty,soft:Thrifty
383,Thrifty,soft:Thrifty
384,Shopper,rule:shopper
385,Thrifty,soft:Thrifty
386,Shopper,rule:shopper
387,Thrifty,rule:thrifty
388,Commuter,rule:commuter_strict
389,Thrifty,soft:Thrifty
390,Shopper,rule:shopper
391,Shopper,soft:Shopper
392,Thrifty,rule:thrifty
393,Thrifty,soft:Thrifty
394,Weekend,soft:Weekend
395,Thrifty,rule:thrifty
396,Shopper,rule:shopper
397,Shopper,rule:shopper
398,Thrifty,soft:Thrifty
399,Thrifty,soft:Thrifty
400,Weekend,soft:Weekend
401,Commuter,rule:commuter_strict
402,Shopper,rule:shopper
403,Thrifty,rule:thrifty
404,Shopper,rule:shopper
405,Thrifty,rule:thrifty
406,Shopper,soft:Shopper
407,Thrifty,soft:Thrifty
408,Commuter,rule:commuter_strict
409,Shopper,soft:Shopper
410,Commuter,rule:commuter_strict
411,Thrifty,rule:thrifty
412,Shopper,rule:shopper
413,Shopper,rule:shopper
414,Weekend,soft:Weekend
415,Thrifty,soft:Thrifty
416,Thrifty,soft:Thrifty
417,Thrifty,rule:thrifty
418,Thrifty,soft:Thrifty
419,Thrifty,soft:Thrifty
420,Weekend,soft:Weekend
421,Shopper,rule:shopper
422,Shopper,rule:shopper
423,Commuter,rule:commuter_strict
424,Thrifty,soft:Thrifty
425,Commuter,rule:commuter_strict
426,Thrifty,soft:Thrifty
427,Thrifty,soft:Thrifty
428,Shopper,rule:shopper
429,Thrifty,rule:thrifty
430,Commuter,rule:commuter_strict
431,Commuter,rule:commuter_strict
432,Weekend,soft:Weekend
433,Thrifty,soft:Thrifty
434,Commuter,rule:commuter_strict
435,Commuter,rule:commuter_strict
436,Weekend,soft:Weekend
437,Commuter,rule:commuter_strict
438,Shopper,rule:shopper
439,Weekend,soft:Weekend
440,Commuter,rule:commuter_strict
441,Commuter,rule:commuter_strict
442,Shopper,rule:shopper
443,Thrifty,rule:thrifty
444,Thrifty,rule:thrifty
445,Shopper,soft:Shopper
446,Shopper,rule:shopper
447,Shopper,soft:Shopper
448,Weekend,soft:Weekend
449,Thrifty,soft:Thrifty
450,Commuter,rule:commuter_strict
451,Thrifty,soft:Thrifty
452,Thrifty,soft:Thrifty
453,Thrifty,rule:thrifty
454,Shopper,rule:shopper
455,Commuter,rule:commuter_strict
456,Thrifty,rule:thrifty
457,Commuter,rule:commuter_strict
458,Thrifty,rule:thrifty
459,Commuter,rule:commuter_strict
460,Commuter,rule:commuter_strict
461,Commuter,rule:commuter_strict
462,Thrifty,soft:Thrifty
463,Weekend,soft:Weekend
464,Thrifty,soft:Thrifty
465,Shopper,rule:shopper
466,Thrifty,soft:Thrifty
467,Thrifty,soft:Thrifty
468,Shopper,rule:shopper
469,Commuter,rule:commuter_strict
470,Shopper,rule:shopper
471,Commuter,rule:commuter_strict
472,Shopper,rule:shopper
473,Commuter,rule:commuter_strict
474,Shopper,soft:Shopper
475,Thrifty,soft:Thrifty
476,Shopper,rule:shopper
477,Commuter,rule:commuter_strict
478,Thrifty,soft:Thrifty
479,Shopper,rule:shopper
480,Thrifty,soft:Thrifty
481,Weekend,soft:Weekend
482,Thrifty,soft:Thrifty
483,Thrifty,rule:thrifty
484,Thrifty,soft:Thrifty
485,Thrifty,soft:Thrifty
486,Shopper,rule:shopper
487,Commuter,rule:commuter_strict
488,Thrifty,soft:Thrifty
489,Shopper,rule:shopper
490,Shopper,soft:Shopper
491,Thrifty,soft:Thrifty
492,Thrifty,soft:Thrifty
493,Thrifty,soft:Thrifty
494,Commuter,rule:commuter_strict
495,Thrifty,soft:Thrifty
496,Thrifty,soft:Thrifty
497,Weekend,soft:Weekend
498,Commuter,rule:commuter_strict
499,Shopper,rule:shopper
500,Shopper,rule:shopper
501,Shopper,soft:Shopper
502,Thrifty,soft:Thrifty
503,Thrifty,soft:Thrifty
504,Shopper,rule:shopper
505,Thrifty,soft:Thrifty
506,Commuter,rule:commuter_strict
507,Shopper,rule:shopper
508,Shopper,rule:shopper
509,Shopper,rule:shopper
510,Thrifty,soft:Thrifty
511,Thrifty,soft:Thrifty
512,Thrifty,rule:thrifty
513,Shopper,rule:shopper
514,Shopper,rule:shopper
515,Commuter,rule:commuter_strict
516,Commuter,rule:commuter_strict
517,Thrifty,rule:thrifty
518,Shopper,rule:shopper
519,Shopper,rule:shopper
520,Commuter,rule:commuter_strict
521,Shopper,soft:Shopper
522,Thrifty,rule:thrifty
523,Shopper,rule:shopper
524,Shopper,rule:shopper
525,Shopper,soft:Shopper
526,Thrifty,rule:thrifty
527,Thrifty,soft:Thrifty
528,Thrifty,rule:thrifty
529,Commuter,rule:commuter_strict
530,Shopper,rule:shopper
531,Shopper,rule:shopper
532,Shopper,rule:shopper
533,Shopper,rule:shopper
534,Weekend,soft:Weekend
535,Weekend,soft:Weekend
536,Shopper,rule:shopper
537,Shopper,rule:shopper
538,Commuter,rule:commuter_strict
539,Thrifty,rule:thrifty
540,Commuter,rule:commuter_strict
541,Shopper,rule:shopper
542,Thrifty,soft:Thrifty
543,Commuter,rule:commuter_strict
544,Thrifty,soft:Thrifty
545,Thrifty,soft:Thrifty
546,Thrifty,soft:Thrifty
547,Commuter,rule:commuter_strict
548,Thrifty,soft:Thrifty
549,Thrifty,rule:thrifty
550,Weekend,soft:Weekend
551,Thrifty,rule:thrifty
552,Shopper,rule:shopper
553,Thrifty,soft:Thrifty
554,Weekend,soft:Weekend
555,Shopper,rule:shopper
556,Thrifty,soft:Thrifty
557,Commuter,rule:commuter_strict
558,Commuter,rule:commuter_strict
559,Thrifty,soft:Thrifty
560,Thrifty,soft:Thrifty
561,Thrifty,soft:Thrifty
562,Commuter,rule:commuter_strict
563,Commuter,rule:commuter_strict
564,Commuter,rule:commuter_strict
565,Thrifty,soft:Thrifty
566,Weekend,soft:Weekend
567,Thrifty,rule:thrifty
568,Thrifty,soft:Thrifty
569,Shopper,rule:shopper
570,Thrifty,rule:thrifty
571,Thrifty,rule:thrifty
572,Thrifty,soft:Thrifty
573,Thrifty,soft:Thrifty
574,Weekend,soft:Weekend
575,Shopper,rule:shopper
576,Shopper,rule:shopper
577,Commuter,rule:commuter_strict
578,Shopper,rule:shopper
579,Thrifty,rule:thrifty
580,Thrifty,soft:Thrifty
581,Thrifty,rule:thrifty
582,Shopper,rule:shopper
583,Thrifty,rule:thrifty
584,Thrifty,rule:thrifty
585,Weekend,soft:Weekend
586,Commuter,rule:commuter_strict
587,Commuter,rule:commuter_strict
588,Commuter,rule:commuter_strict
589,Commuter,rule:commuter_strict
590,Commuter,rule:commuter_strict
591,Commuter,rule:commuter_strict
592,Weekend,soft:Weekend
593,Commuter,rule:commuter_strict
594,Thrifty,rule:thrifty
595,Shopper,rule:shopper
596,Thrifty,rule:thrifty
597,Thrifty,soft:Thrifty
598,Commuter,rule:commuter_strict
599,Commuter,rule:commuter_strict
600,Commuter,rule:commuter_strict
601,Commuter,rule:commuter_strict
602,Thrifty,rule:thrifty
603,Commuter,rule:commuter_strict
604,Commuter,rule:commuter_strict
605,Commuter,rule:commuter_strict
606,Thrifty,soft:Thrifty
607,Commuter,rule:commuter_strict
608,Thrifty,soft:Thrifty
609,Thrifty,soft:Thrifty
610,Thrifty,soft:Thrifty
611,Commuter,rule:commuter_strict
612,Shopper,rule:shopper
613,Weekend,soft:Weekend
614,Commuter,rule:commuter_strict
615,Shopper,rule:shopper
616,Shopper,rule:shopper
617,Commuter,rule:commuter_strict
618,Thrifty,rule:thrifty
619,Shopper,rule:shopper
620,Weekend,soft:Weekend
621,Commuter,rule:commuter_strict
622,Commuter,rule:commuter_strict
623,Thrifty,soft:Thrifty
624,Thrifty,rule:thrifty
625,Thrifty,soft:Thrifty
626,Thrifty,rule:thrifty
627,Thrifty,rule:thrifty
628,Thrifty,soft:Thrifty
629,Commuter,rule:commuter_strict
630,Commuter,rule:commuter_strict
631,Weekend,soft:Weekend
632,Shopper,rule:shopper
633,Thrifty,soft:Thrifty
634,Thrifty,soft:Thrifty
635,Commuter,rule:commuter_strict
636,Thrifty,rule:thrifty
637,Thrifty,soft:Thrifty
638,Commuter,rule:commuter_strict
639,Thrifty,rule:thrifty
640,Thrifty,rule:thrifty
641,Commuter,rule:commuter_strict
642,Thrifty,soft:Thrifty
643,Commuter,rule:commuter_strict
644,Thrifty,rule:thrifty
645,Commuter,rule:commuter_strict
646,Shopper,rule:shopper
647,Weekend,soft:Weekend
648,Thrifty,soft:Thrifty
649,Shopper,rule:shopper
650,Thrifty,rule:thrifty
651,Commuter,rule:commuter_strict
652,Thrifty,soft:Thrifty
653,Thrifty,soft:Thrifty
654,Thrifty,soft:Thrifty
655,Thrifty,rule:thrifty
656,Commuter,rule:commuter_strict
657,Thrifty,rule:thrifty
658,Thrifty,rule:thrifty
659,Thrifty,soft:Thrifty
660,Thrifty,soft:Thrifty
661,Thrifty,soft:Thrifty
662,Shopper,soft:Shopper
663,Weekend,soft:Weekend
664,Commuter,rule:commuter_strict
665,Commuter,rule:commuter_strict
666,Commuter,rule:commuter_strict
667,Commuter,rule:commuter_strict
668,Commuter,rule:commuter_strict
669,Commuter,rule:commuter_strict
670,Thrifty,soft:Thrifty
671,Commuter,rule:commuter_strict
672,Shopper,rule:shopper
673,Commuter,rule:commuter_strict
674,Thrifty,soft:Thrifty
675,Thrifty,rule:thrifty
676,Shopper,rule:shopper
677,Commuter,rule:commuter_strict
678,Thrifty,rule:thrifty
679,Shopper,soft:Shopper
680,Shopper,rule:shopper
681,Shopper,rule:shopper
682,Thrifty,soft:Thrifty
683,Commuter,rule:commuter_strict
684,Weekend,soft:Weekend
685,Shopper,rule:shopper
686,Thrifty,soft:Thrifty
687,Thrifty,soft:Thrifty
688,Thrifty,soft:Thrifty
689,Thrifty,soft:Thrifty
690,Commuter,rule:commuter_strict
691,Thrifty,rule:thrifty
692,Thrifty,rule:thrifty
693,Thrifty,rule:thrifty
694,Commuter,rule:commuter_strict
695,Commuter,rule:commuter_strict
696,Thrifty,soft:Thrifty
697,Thrifty,rule:thrifty
698,Thrifty,soft:Thrifty
699,Commuter,rule:commuter_strict
700,Thrifty,soft:Thrifty
701,Thrifty,soft:Thrifty
702,Commuter,rule:commuter_strict
703,Thrifty,rule:thrifty
704,Commuter,rule:commuter_strict
705,Commuter,rule:commuter_strict
706,Shopper,rule:shopper
707,Thrifty,rule:thrifty
708,Shopper,soft:Shopper
709,Commuter,rule:commuter_strict
710,Thrifty,soft:Thrifty
711,Thrifty,soft:Thrifty
712,Weekend,soft:Weekend
713,Thrifty,soft:Thrifty
714,Thrifty,rule:thrifty
715,Thrifty,soft:Thrifty
716,Shopper,rule:shopper
717,Shopper,rule:shopper
718,Shopper,rule:shopper
719,Commuter,rule:commuter_strict
720,Thrifty,soft:Thrifty
721,Shopper,rule:shopper
722,Commuter,rule:commuter_strict
723,Commuter,rule:commuter_strict
724,Thrifty,soft:Thrifty
725,Thrifty,soft:Thrifty
726,Shopper,rule:shopper
727,Commuter,rule:commuter_strict
728,Shopper,rule:shopper
729,Commuter,rule:commuter_strict
730,Commuter,rule:commuter_strict
731,Commuter,rule:commuter_strict
732,Shopper,rule:shopper
733,Thrifty,soft:Thrifty
734,Thrifty,soft:Thrifty
735,Thrifty,rule:thrifty
736,Shopper,soft:Shopper
737,Thrifty,rule:thrifty
738,Shopper,rule:shopper
739,Thrifty,soft:Thrifty
740,Thrifty,rule:thrifty
741,Thrifty,soft:Thrifty
742,Thrifty,rule:thrifty
743,Thrifty,soft:Thrifty
744,Thrifty,rule:thrifty
745,Commuter,rule:commuter_strict
746,Shopper,rule:shopper
747,Thrifty,rule:thrifty
748,Weekend,soft:Weekend
749,Shopper,rule:shopper
750,Weekend,soft:Weekend
751,Commuter,rule:commuter_strict
752,Shopper,rule:shopper
753,Thrifty,soft:Thrifty
754,Thrifty,rule:thrifty
755,Commuter,rule:commuter_strict
756,Shopper,rule:shopper
757,Thrifty,soft:Thrifty
758,Thrifty,soft:Thrifty
759,Shopper,soft:Shopper
760,Shopper,rule:shopper
761,Commuter,rule:commuter_strict
762,Thrifty,soft:Thrifty
763,Commuter,rule:commuter_strict
764,Thrifty,soft:Thrifty
765,Commuter,rule:commuter_strict
766,Thrifty,soft:Thrifty
767,Thrifty,soft:Thrifty
768,Shopper,rule:shopper
769,Thrifty,rule:thrifty
770,Shopper,rule:shopper
771,Commuter,rule:commuter_strict
772,Shopper,rule:shopper
773,Commuter,rule:commuter_strict
774,Thrifty,rule:thrifty
775,Shopper,rule:shopper
776,Commuter,rule:commuter_strict
777,Commuter,rule:commuter_strict
778,Thrifty,soft:Thrifty
779,Weekend,soft:Weekend
780,Thrifty,soft:Thrifty
781,Thrifty,soft:Thrifty
782,Thrifty,soft:Thrifty
783,Commuter,rule:commuter_strict
784,Thrifty,rule:thrifty
785,Commuter,rule:commuter_strict
786,Shopper,rule:shopper
787,Thrifty,soft:Thrifty
788,Thrifty,rule:thrifty
789,Thrifty,rule:thrifty
790,Shopper,rule:shopper
791,Commuter,rule:commuter_strict
792,Weekend,soft:Weekend
793,Thrifty,rule:thrifty
794,Weekend,soft:Weekend
795,Commuter,rule:commuter_strict
796,Shopper,rule:shopper
797,Shopper,rule:shopper
798,Weekend,soft:Weekend
799,Thrifty,soft:Thrifty
800,Shopper,rule:shopper
801,Thrifty,soft:Thrifty
802,Commuter,rule:commuter_strict
803,Thrifty,soft:Thrifty
804,Thrifty,soft:Thrifty
805,Thrifty,soft:Thrifty
806,Shopper,soft:Shopper
807,Shopper,rule:shopper
808,Shopper,rule:shopper
809,Thrifty,rule:thrifty
810,Commuter,rule:commuter_strict
811,Shopper,rule:shopper
812,Shopper,rule:shopper
813,Commuter,rule:commuter_strict
814,Shopper,rule:shopper
815,Shopper,rule:shopper
816,Thrifty,rule:thrifty
817,Thrifty,soft:Thrifty
818,Thrifty,rule:thrifty
819,Commuter,rule:commuter_strict
820,Thrifty,rule:thrifty
821,Shopper,rule:shopper
822,Commuter,rule:commuter_strict
823,Thrifty,soft:Thrifty
824,Thrifty,soft:Thrifty
825,Weekend,soft:Weekend
826,Shopper,rule:shopper
827,Thrifty,soft:Thrifty
828,Thrifty,soft:Thrifty
829,Weekend,soft:Weekend
830,Thrifty,rule:thrifty
831,Commuter,rule:commuter_strict
832,Thrifty,rule:thrifty
833,Commuter,rule:commuter_strict
834,Commuter,rule:commuter_strict
835,Thrifty,rule:thrifty
836,Thrifty,rule:thrifty
837,Shopper,rule:shopper
838,Thrifty,rule:thrifty
839,Thrifty,soft:Thrifty
840,Thrifty,soft:Thrifty
841,Commuter,rule:commuter_strict
842,Thrifty,soft:Thrifty
843,Commuter,rule:commuter_strict
844,Shopper,soft:Shopper
845,Commuter,rule:commuter_strict
846,Thrifty,rule:thrifty
847,Commuter,rule:commuter_strict
848,Shopper,rule:shopper
849,Thrifty,rule:thrifty
850,Thrifty,soft:Thrifty
851,Commuter,rule:commuter_strict
852,Thrifty,soft:Thrifty
853,Commuter,rule:commuter_strict
854,Shopper,rule:shopper
855,Commuter,rule:commuter_strict
856,Commuter,rule:commuter_strict
857,Commuter,rule:commuter_strict
858,Thrifty,soft:Thrifty
859,Weekend,soft:Weekend
860,Commuter,rule:commuter_strict
861,Thrifty,soft:Thrifty
862,Thrifty,soft:Thrifty
863,Weekend,soft:Weekend
864,Thrifty,rule:thrifty
865,Thrifty,rule:thrifty
866,Weekend,soft:Weekend
867,Commuter,rule:commuter_strict
868,Commuter,rule:commuter_strict
869,Shopper,rule:shopper
